label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
YES,0.0,0.0,0.0,-0.162077,-0.058006,-0.054214,-0.28813,-0.18246,-0.081124,-0.358489,-0.321541,-0.105922,-0.402837,-0.438593,-0.128687,-0.201084,-0.466876,-0.026217,-0.259736,-0.657124,-0.064604,-0.287506,-0.775336,-0.103409,-0.304066,-0.882523,-0.133379,-0.116253,-0.515552,-0.029629,-0.145294,-0.729808,-0.055895,-0.160086,-0.866567,-0.086158,-0.170285,-0.979056,-0.111592,-0.030861,-0.514959,-0.043413,-0.047806,-0.711393,-0.067993,-0.057307,-0.840757,-0.095932,-0.066041,-0.948878,-0.118457,0.0555,-0.477173,-0.064145,0.061566,-0.633926,-0.085372,0.061154,-0.736269,-0.100652,0.061465,-0.828061,-0.112897
YES,0.0,0.0,0.0,-0.150883,-0.049347,-0.102242,-0.270354,-0.178294,-0.167676,-0.358488,-0.321271,-0.222561,-0.437706,-0.436747,-0.278194,-0.165753,-0.431174,-0.12195,-0.210138,-0.622973,-0.196687,-0.233899,-0.758112,-0.255896,-0.248687,-0.878236,-0.298028,-0.068742,-0.466466,-0.111663,-0.068745,-0.684119,-0.17111,-0.077379,-0.832845,-0.214738,-0.085182,-0.965156,-0.247422,0.022098,-0.447193,-0.111679,0.033828,-0.654023,-0.163456,0.035065,-0.780687,-0.195274,0.0317,-0.893815,-0.217761,0.104842,-0.388362,-0.121104,0.143546,-0.537612,-0.163538,0.162911,-0.631248,-0.18336,0.174894,-0.717096,-0.19659
YES,0.0,0.0,0.0,-0.20654,0.021196,-0.13791,-0.404158,-0.117006,-0.230339,-0.550692,-0.271092,-0.31023,-0.68666,-0.403764,-0.392746,-0.240915,-0.367338,-0.210192,-0.305931,-0.579045,-0.31069,-0.337005,-0.713754,-0.373136,-0.351909,-0.83789,-0.417253,-0.066498,-0.448222,-0.206183,-0.032092,-0.731726,-0.316778,0.00529,-0.698537,-0.365038,0.0396,-0.629942,-0.387466,0.079738,-0.466228,-0.209472,0.140122,-0.68152,-0.323955,0.176699,-0.612419,-0.340147,0.201099,-0.529771,-0.335267,0.198652,-0.437663,-0.222101,0.273959,-0.588816,-0.312629,0.312221,-0.526135,-0.318825,0.333897,-0.439063,-0.311908
YES,0.0,0.0,0.0,-0.249113,0.077381,-0.168497,-0.482393,-0.074196,-0.288573,-0.642267,-0.213648,-0.389122,-0.795989,-0.351403,-0.492867,-0.28361,-0.265742,-0.338346,-0.299796,-0.354403,-0.488733,-0.250529,-0.306261,-0.578725,-0.174774,-0.277931,-0.638439,-0.070942,-0.332218,-0.335442,-0.050302,-0.442718,-0.485935,0.0332,-0.420871,-0.562009,0.139395,-0.37018,-0.618487,0.107622,-0.347459,-0.337246,0.156633,-0.481188,-0.504625,0.25946,-0.459928,-0.56013,0.360431,-0.434497,-0.591256,0.243814,-0.31607,-0.346679,0.352258,-0.409929,-0.500436,0.464724,-0.380109,-0.543823,0.563192,-0.340771,-0.566199
YES,0.0,0.0,0.0,-0.265913,0.048429,-0.149764,-0.487417,-0.091055,-0.25785,-0.648165,-0.244049,-0.352866,-0.80646,-0.378855,-0.453973,-0.259036,-0.356555,-0.253178,-0.269475,-0.468678,-0.359547,-0.231335,-0.463444,-0.434651,-0.165361,-0.474967,-0.490875,-0.051743,-0.422708,-0.248857,-0.006662,-0.562413,-0.345682,0.07217,-0.557877,-0.408302,0.173534,-0.518094,-0.462647,0.121551,-0.422527,-0.250928,0.195305,-0.558948,-0.359466,0.286913,-0.547296,-0.412867,0.381583,-0.508055,-0.452289,0.260685,-0.374124,-0.262517,0.363452,-0.482407,-0.364708,0.453062,-0.46145,-0.400699,0.536587,-0.413089,-0.424842
YES,0.0,0.0,0.0,-0.168132,-0.050689,-0.090968,-0.309556,-0.184045,-0.152779,-0.419099,-0.313851,-0.207799,-0.520291,-0.40989,-0.265894,-0.186453,-0.415908,-0.118439,-0.231181,-0.616258,-0.18489,-0.253527,-0.762788,-0.236562,-0.270266,-0.886726,-0.275091,-0.06152,-0.464709,-0.118358,-0.044275,-0.705801,-0.173114,-0.05227,-0.856384,-0.213537,-0.069518,-0.966873,-0.245611,0.047501,-0.454167,-0.126716,0.073147,-0.676971,-0.176016,0.064867,-0.798958,-0.207477,0.042217,-0.890013,-0.230693,0.142749,-0.403423,-0.143605,0.19187,-0.573347,-0.184172,0.209285,-0.669515,-0.202031,0.206022,-0.744902,-0.215499
YES,0.0,0.0,0.0,-0.158446,-0.054968,-0.062508,-0.274177,-0.198634,-0.095569,-0.328838,-0.34534,-0.123954,-0.378581,-0.46319,-0.150815,-0.18941,-0.46547,-0.05184,-0.225138,-0.659971,-0.096197,-0.240972,-0.780817,-0.13564,-0.250906,-0.890875,-0.165909,-0.099981,-0.498231,-0.05249,-0.114616,-0.714411,-0.088773,-0.12381,-0.853031,-0.122528,-0.130142,-0.980257,-0.14886,-0.014275,-0.483639,-0.062097,-0.015342,-0.687185,-0.096825,-0.020506,-0.813386,-0.12554,-0.029354,-0.92614,-0.146227,0.070894,-0.433058,-0.078119,0.080813,-0.591092,-0.108203,0.079505,-0.693446,-0.125476,0.072854,-0.788963,-0.137459
YES,0.0,0.0,0.0,-0.163625,-0.058114,-0.060094,-0.286676,-0.188594,-0.091883,-0.348862,-0.329771,-0.120601,-0.388981,-0.453315,-0.147185,-0.195858,-0.461291,-0.042409,-0.233999,-0.661514,-0.08655,-0.248029,-0.780762,-0.125916,-0.255939,-0.88901,-0.155351,-0.111886,-0.500856,-0.044046,-0.138735,-0.717776,-0.07916,-0.154857,-0.85466,-0.112006,-0.165959,-0.976467,-0.13773,-0.027431,-0.499177,-0.055591,-0.047485,-0.697401,-0.086382,-0.061726,-0.823946,-0.113423,-0.07523,-0.936149,-0.133547,0.05933,-0.464434,-0.074407,0.049991,-0.627996,-0.101104,0.037536,-0.730117,-0.117046,0.026224,-0.823844,-0.128183
YES,0.0,0.0,0.0,-0.178575,-0.043732,-0.062451,-0.313034,-0.166423,-0.09168,-0.385443,-0.31136,-0.117218,-0.43158,-0.435267,-0.139936,-0.214745,-0.458001,-0.028872,-0.251643,-0.667831,-0.06435,-0.265325,-0.791294,-0.100319,-0.274283,-0.899674,-0.128113,-0.131355,-0.498635,-0.027501,-0.163288,-0.721795,-0.05185,-0.183436,-0.859358,-0.081788,-0.200657,-0.973872,-0.106346,-0.045823,-0.500234,-0.037351,-0.07386,-0.707811,-0.059724,-0.094752,-0.831487,-0.086389,-0.114711,-0.937701,-0.107498,0.045877,-0.46925,-0.055273,0.028026,-0.635897,-0.077474,0.007862,-0.734671,-0.094291,-0.009436,-0.825239,-0.106752
YES,0.0,0.0,0.0,-0.168059,-0.053116,-0.057189,-0.299241,-0.185809,-0.086134,-0.371503,-0.325368,-0.112039,-0.426373,-0.434065,-0.136099,-0.201322,-0.463023,-0.035011,-0.234342,-0.669787,-0.072371,-0.24541,-0.792861,-0.109162,-0.252422,-0.900534,-0.137341,-0.120453,-0.499746,-0.036908,-0.147875,-0.720971,-0.063822,-0.163448,-0.860017,-0.094252,-0.175586,-0.977275,-0.118759,-0.038088,-0.49866,-0.048558,-0.062976,-0.704632,-0.072492,-0.077171,-0.827976,-0.099029,-0.090646,-0.932071,-0.11973,0.047887,-0.4655,-0.067494,0.032608,-0.63197,-0.09022,0.016314,-0.729515,-0.105737,0.00257,-0.816139,-0.116993
YES,0.0,0.0,0.0,-0.162173,-0.05527,-0.080895,-0.284628,-0.188912,-0.13009,-0.363085,-0.327047,-0.172379,-0.429386,-0.445783,-0.214096,-0.174406,-0.456585,-0.07536,-0.195975,-0.655998,-0.127614,-0.206693,-0.783379,-0.173471,-0.214867,-0.893298,-0.207135,-0.080211,-0.48469,-0.069929,-0.089642,-0.700632,-0.110509,-0.101758,-0.848994,-0.147556,-0.112829,-0.977735,-0.176929,0.007353,-0.469305,-0.074831,0.00597,-0.676696,-0.110926,-0.00518,-0.805964,-0.139702,-0.020953,-0.917318,-0.161006,0.091745,-0.42092,-0.088,0.10098,-0.589033,-0.120728,0.091314,-0.692629,-0.138504,0.072929,-0.785591,-0.150585
YES,0.0,0.0,0.0,-0.233667,-0.057424,-0.083758,-0.422685,-0.21404,-0.157859,-0.566262,-0.372932,-0.228653,-0.691936,-0.479378,-0.293959,-0.262584,-0.630654,-0.100961,-0.286983,-0.834947,-0.171843,-0.269696,-0.733116,-0.221637,-0.241786,-0.614161,-0.249178,-0.099514,-0.686147,-0.101687,-0.112753,-0.981637,-0.153871,-0.113293,-0.866559,-0.17778,-0.098807,-0.723622,-0.187857,0.050766,-0.685255,-0.10966,0.029653,-0.95761,-0.144962,0.024012,-0.844327,-0.13676,0.029863,-0.715332,-0.128345,0.187407,-0.639761,-0.126237,0.159962,-0.854549,-0.146907,0.145979,-0.768084,-0.125229,0.147531,-0.659096,-0.103902
YES,0.0,0.0,0.0,-0.259985,0.064404,-0.148385,-0.509429,-0.087885,-0.244685,-0.683896,-0.222983,-0.325901,-0.845988,-0.350031,-0.402223,-0.294153,-0.461304,-0.194799,-0.260046,-0.470697,-0.290577,-0.207025,-0.365642,-0.35477,-0.151173,-0.321831,-0.404951,-0.088695,-0.520774,-0.187817,-0.038142,-0.496339,-0.263468,0.044694,-0.449494,-0.30613,0.137464,-0.463744,-0.349929,0.084855,-0.499209,-0.19319,0.13449,-0.503985,-0.282648,0.212784,-0.465597,-0.2968,0.292417,-0.495734,-0.312512,0.229981,-0.437418,-0.21129,0.286617,-0.473379,-0.284795,0.335253,-0.436083,-0.283359,0.381532,-0.450847,-0.28347
YES,0.0,0.0,0.0,-0.26875,0.048687,-0.147466,-0.514026,-0.120201,-0.241332,-0.684282,-0.25386,-0.319821,-0.837454,-0.377727,-0.394959,-0.304615,-0.434805,-0.219092,-0.275745,-0.460598,-0.325939,-0.202333,-0.364286,-0.391914,-0.127654,-0.327948,-0.441048,-0.090692,-0.493154,-0.213621,-0.047434,-0.496889,-0.300677,0.040066,-0.45566,-0.343247,0.135478,-0.462415,-0.385145,0.086947,-0.47707,-0.219378,0.134685,-0.506185,-0.318434,0.21084,-0.476562,-0.331786,0.285805,-0.507932,-0.345379,0.23512,-0.420933,-0.2371,0.296516,-0.462417,-0.315273,0.349742,-0.438214,-0.314782,0.398203,-0.462213,-0.31596
YES,0.0,0.0,0.0,-0.199904,-0.062945,-0.100006,-0.363384,-0.23563,-0.173458,-0.493688,-0.395484,-0.244633,-0.621754,-0.502107,-0.312927,-0.198724,-0.655086,-0.082863,-0.186641,-0.935893,-0.158602,-0.195227,-0.956258,-0.217846,-0.202772,-0.917176,-0.253281,-0.04357,-0.67629,-0.083391,-0.026988,-0.965897,-0.132156,-0.037124,-0.964356,-0.168437,-0.042502,-0.932494,-0.193492,0.097495,-0.644124,-0.098247,0.12138,-0.910477,-0.143547,0.102925,-0.879788,-0.146047,0.089251,-0.838513,-0.14863,0.223532,-0.571861,-0.124494,0.241954,-0.752853,-0.157969,0.225039,-0.691207,-0.143824,0.21058,-0.616743,-0.130935
YES,0.0,0.0,0.0,-0.150573,-0.068126,-0.069381,-0.259589,-0.211226,-0.113189,-0.332935,-0.348406,-0.152865,-0.407583,-0.452978,-0.192262,-0.156055,-0.481717,-0.061646,-0.166286,-0.671718,-0.111372,-0.168216,-0.791276,-0.156243,-0.169005,-0.898975,-0.1905,-0.073682,-0.505706,-0.062488,-0.078395,-0.716579,-0.103147,-0.084486,-0.855635,-0.140077,-0.089293,-0.981539,-0.169141,0.004465,-0.483533,-0.072922,0.004176,-0.686013,-0.109554,0.001208,-0.812675,-0.139036,-0.006785,-0.923893,-0.161135,0.081628,-0.422978,-0.090955,0.088414,-0.582017,-0.123833,0.081521,-0.686435,-0.142909,0.067983,-0.783677,-0.156671
YES,0.0,0.0,0.0,-0.163744,-0.056795,-0.060412,-0.28999,-0.199381,-0.09051,-0.360733,-0.33814,-0.116965,-0.422683,-0.432446,-0.141927,-0.195424,-0.482111,-0.038097,-0.222654,-0.685561,-0.080627,-0.227703,-0.809086,-0.122875,-0.230229,-0.915182,-0.154749,-0.116867,-0.516274,-0.038004,-0.139678,-0.735565,-0.065985,-0.148355,-0.868065,-0.094418,-0.154552,-0.980906,-0.118051,-0.036805,-0.512698,-0.048374,-0.059454,-0.716547,-0.071494,-0.067607,-0.834435,-0.091607,-0.074454,-0.932826,-0.108296,0.049406,-0.474481,-0.067136,0.030943,-0.639509,-0.086468,0.016258,-0.731706,-0.095604,0.005797,-0.812308,-0.10297
YES,0.0,0.0,0.0,-0.164305,-0.056398,-0.055848,-0.295081,-0.197732,-0.080165,-0.37049,-0.338327,-0.102926,-0.443274,-0.419209,-0.124528,-0.200497,-0.479831,-0.020433,-0.233927,-0.688092,-0.050723,-0.243129,-0.809232,-0.084141,-0.248686,-0.913596,-0.111091,-0.121383,-0.516233,-0.022068,-0.150041,-0.736523,-0.043091,-0.16577,-0.871892,-0.071399,-0.178178,-0.979364,-0.095385,-0.039716,-0.513688,-0.034239,-0.065891,-0.717555,-0.053175,-0.081712,-0.840218,-0.079465,-0.09841,-0.940233,-0.100907,0.047686,-0.477531,-0.054313,0.031353,-0.646818,-0.072044,0.010356,-0.745709,-0.086001,-0.01178,-0.83035,-0.097427
YES,0.0,0.0,0.0,-0.154583,-0.059938,-0.063805,-0.269041,-0.202391,-0.102057,-0.341312,-0.337511,-0.136468,-0.41965,-0.430361,-0.170604,-0.168092,-0.488643,-0.05285,-0.181195,-0.684494,-0.096317,-0.183466,-0.80681,-0.137255,-0.184937,-0.91528,-0.16947,-0.084435,-0.514661,-0.055088,-0.089006,-0.729153,-0.088505,-0.093802,-0.864733,-0.121436,-0.099856,-0.983902,-0.148207,-0.005121,-0.494388,-0.066478,-0.011435,-0.697954,-0.097624,-0.01679,-0.821247,-0.125229,-0.02653,-0.928153,-0.146825,0.072941,-0.437251,-0.085207,0.072748,-0.596476,-0.115106,0.063065,-0.698647,-0.132981,0.049178,-0.791653,-0.146091
YES,0.0,0.0,0.0,-0.15646,-0.086727,-0.088866,-0.280318,-0.238913,-0.145701,-0.377341,-0.376496,-0.19678,-0.468506,-0.480035,-0.249375,-0.114783,-0.496799,-0.077731,-0.105998,-0.679867,-0.134073,-0.096621,-0.792819,-0.185111,-0.088898,-0.88877,-0.224012,-0.007759,-0.512099,-0.075256,0.021227,-0.726696,-0.119506,0.022316,-0.861687,-0.159701,0.019672,-0.980712,-0.194464,0.083539,-0.48256,-0.084994,0.117685,-0.683398,-0.128026,0.114073,-0.801171,-0.158689,0.10049,-0.90686,-0.183518,0.165202,-0.41657,-0.104307,0.19431,-0.56892,-0.140106,0.188081,-0.659978,-0.157906,0.167093,-0.746065,-0.173188
YES,0.0,0.0,0.0,-0.264327,0.025778,-0.157952,-0.494439,-0.144142,-0.252909,-0.653468,-0.315966,-0.331677,-0.790473,-0.459703,-0.404754,-0.280412,-0.405735,-0.193245,-0.181682,-0.401388,-0.303275,-0.080939,-0.307892,-0.380514,0.01148,-0.249181,-0.431017,-0.077337,-0.454999,-0.17729,0.02087,-0.486443,-0.260804,0.113592,-0.472692,-0.310252,0.206909,-0.48552,-0.352774,0.074322,-0.450039,-0.175556,0.157994,-0.511445,-0.262965,0.225851,-0.48265,-0.27823,0.285217,-0.487832,-0.286311,0.191583,-0.425593,-0.187743,0.252592,-0.503667,-0.242233,0.294876,-0.493641,-0.230755,0.331918,-0.501554,-0.221319
YES,0.0,0.0,0.0,-0.253627,0.051492,-0.179648,-0.491251,-0.120479,-0.271791,-0.65528,-0.278196,-0.339653,-0.813115,-0.426018,-0.396676,-0.272153,-0.383145,-0.231185,-0.180002,-0.334186,-0.354838,-0.064133,-0.230046,-0.428271,0.043942,-0.191864,-0.474885,-0.074117,-0.425188,-0.209422,0.046972,-0.340146,-0.325519,0.174447,-0.307557,-0.385372,0.296629,-0.325756,-0.428413,0.079512,-0.400281,-0.200469,0.193933,-0.330941,-0.334556,0.293325,-0.308068,-0.359595,0.369333,-0.342194,-0.364653,0.19629,-0.349416,-0.204191,0.290461,-0.329334,-0.304718,0.351519,-0.301249,-0.309094,0.402999,-0.312211,-0.303344
YES,0.0,0.0,0.0,-0.259937,0.027751,-0.154283,-0.487119,-0.165212,-0.243448,-0.654152,-0.3197,-0.313714,-0.798526,-0.470102,-0.375979,-0.249879,-0.439282,-0.202013,-0.171206,-0.369449,-0.291042,-0.125194,-0.245401,-0.344923,-0.090029,-0.20081,-0.386,-0.054424,-0.487087,-0.184909,0.021353,-0.3745,-0.246045,0.088829,-0.321746,-0.278869,0.159473,-0.345817,-0.31872,0.102257,-0.465164,-0.17941,0.180017,-0.38708,-0.256483,0.243808,-0.342499,-0.264518,0.300758,-0.379443,-0.277024,0.227518,-0.416386,-0.187702,0.297738,-0.414131,-0.250344,0.341565,-0.367686,-0.242104,0.381089,-0.375531,-0.237991
YES,0.0,0.0,0.0,-0.164109,-0.062953,-0.0831,-0.297283,-0.221691,-0.13497,-0.398223,-0.364515,-0.181279,-0.492905,-0.464773,-0.229092,-0.162651,-0.477208,-0.077849,-0.171976,-0.684359,-0.133005,-0.179235,-0.811256,-0.17975,-0.187586,-0.920907,-0.21421,-0.038028,-0.507824,-0.077546,-0.021026,-0.735918,-0.116987,-0.031039,-0.86835,-0.15169,-0.046056,-0.982319,-0.181463,0.068726,-0.496912,-0.087892,0.081894,-0.712734,-0.126126,0.068013,-0.837565,-0.149674,0.045501,-0.944394,-0.168647,0.161301,-0.457261,-0.10714,0.168783,-0.631735,-0.136722,0.155107,-0.723156,-0.145248,0.129109,-0.801124,-0.153014
YES,0.0,0.0,0.0,-0.152915,-0.07194,-0.060971,-0.261703,-0.218148,-0.093033,-0.317874,-0.365069,-0.121865,-0.369059,-0.481247,-0.149814,-0.168521,-0.478821,-0.042019,-0.194078,-0.677404,-0.08437,-0.203568,-0.798006,-0.123552,-0.207905,-0.905991,-0.154111,-0.085575,-0.506966,-0.043252,-0.092175,-0.72622,-0.078215,-0.096016,-0.864895,-0.111633,-0.097895,-0.985604,-0.137843,-0.007274,-0.488957,-0.054223,-0.013655,-0.69678,-0.087413,-0.021815,-0.826015,-0.116268,-0.030176,-0.936452,-0.137502,0.072039,-0.434893,-0.07208,0.067629,-0.599238,-0.102357,0.052574,-0.70191,-0.120486,0.037292,-0.794391,-0.133347
YES,0.0,0.0,0.0,-0.174334,-0.061344,-0.059792,-0.304205,-0.202536,-0.085951,-0.36516,-0.361154,-0.108714,-0.401704,-0.488673,-0.128092,-0.207011,-0.477474,-0.023477,-0.252545,-0.675074,-0.062313,-0.272827,-0.79211,-0.101506,-0.284929,-0.896231,-0.130871,-0.125119,-0.51981,-0.021851,-0.154122,-0.741253,-0.048085,-0.170883,-0.871814,-0.076668,-0.182583,-0.978086,-0.100052,-0.042545,-0.520686,-0.031675,-0.072106,-0.725079,-0.055051,-0.090353,-0.844901,-0.077421,-0.105984,-0.940312,-0.094843,0.045571,-0.486227,-0.049547,0.024957,-0.655375,-0.068175,0.004669,-0.755421,-0.079325,-0.012945,-0.839806,-0.087813
YES,0.0,0.0,0.0,-0.184936,-0.05281,-0.053807,-0.31723,-0.184257,-0.076697,-0.384841,-0.334491,-0.097431,-0.426619,-0.466367,-0.114215,-0.228847,-0.467104,-0.005856,-0.273929,-0.670105,-0.039231,-0.294478,-0.789257,-0.075634,-0.308474,-0.89682,-0.102736,-0.142388,-0.508843,-0.007158,-0.172935,-0.727253,-0.026961,-0.191442,-0.863456,-0.054324,-0.206455,-0.975451,-0.076626,-0.055309,-0.511453,-0.020492,-0.086695,-0.714796,-0.039924,-0.108934,-0.840012,-0.062088,-0.12996,-0.943604,-0.078875,0.037867,-0.482462,-0.04144,0.015496,-0.650008,-0.058104,-0.010223,-0.752254,-0.067763,-0.033033,-0.843785,-0.074766
YES,0.0,0.0,0.0,-0.153708,-0.067307,-0.053841,-0.269788,-0.227712,-0.079108,-0.329807,-0.375066,-0.101987,-0.387281,-0.482663,-0.124781,-0.171116,-0.490922,-0.034147,-0.208176,-0.684211,-0.074862,-0.224565,-0.80406,-0.11473,-0.235385,-0.910609,-0.146585,-0.08771,-0.522938,-0.038653,-0.101622,-0.741011,-0.070784,-0.108273,-0.874862,-0.102949,-0.113845,-0.985026,-0.129473,-0.007404,-0.50792,-0.052787,-0.015407,-0.715106,-0.084671,-0.026204,-0.839546,-0.113781,-0.04016,-0.941706,-0.136285,0.073419,-0.456577,-0.073316,0.070803,-0.617531,-0.102969,0.058655,-0.715777,-0.12159,0.044053,-0.801409,-0.135873
YES,0.0,0.0,0.0,-0.155513,-0.081975,-0.103658,-0.274116,-0.255015,-0.166133,-0.352164,-0.426778,-0.218386,-0.427656,-0.56911,-0.270127,-0.107627,-0.493523,-0.103383,-0.10874,-0.683292,-0.170158,-0.117546,-0.805675,-0.225743,-0.130263,-0.911651,-0.265325,0.009095,-0.511131,-0.094539,0.052739,-0.73205,-0.14323,0.050819,-0.866939,-0.180998,0.038401,-0.976569,-0.211749,0.103905,-0.478368,-0.09809,0.149766,-0.682147,-0.142447,0.150177,-0.799186,-0.167088,0.137592,-0.90032,-0.186443,0.183081,-0.408613,-0.112284,0.230048,-0.562473,-0.147054,0.237172,-0.648647,-0.159215,0.22662,-0.725884,-0.169153
YES,0.0,0.0,0.0,-0.269654,0.038164,-0.168387,-0.496692,-0.122094,-0.267291,-0.64531,-0.300819,-0.34541,-0.787513,-0.456931,-0.413566,-0.266148,-0.472916,-0.209691,-0.178671,-0.339362,-0.318333,-0.097916,-0.183385,-0.394003,-0.027874,-0.077512,-0.44175,-0.069413,-0.539765,-0.18484,0.042162,-0.3462,-0.270121,0.117522,-0.229486,-0.321896,0.184867,-0.142483,-0.364961,0.088524,-0.526373,-0.172922,0.19524,-0.394651,-0.273888,0.249817,-0.32221,-0.304975,0.29721,-0.280762,-0.320161,0.213156,-0.479993,-0.174907,0.324209,-0.494565,-0.255447,0.379773,-0.453509,-0.263819,0.426372,-0.415308,-0.262463
YES,0.0,0.0,0.0,-0.24411,0.062047,-0.201446,-0.468196,-0.089777,-0.317898,-0.626985,-0.246155,-0.405885,-0.784745,-0.385708,-0.485186,-0.226189,-0.43646,-0.265553,-0.131441,-0.262064,-0.393921,-0.031488,-0.0878,-0.480631,0.070249,0.021512,-0.536057,-0.019698,-0.462703,-0.232197,0.103893,-0.296954,-0.3334,0.218117,-0.219812,-0.393769,0.3405,-0.168109,-0.446101,0.13549,-0.42162,-0.212909,0.250889,-0.297452,-0.330172,0.352406,-0.244665,-0.371759,0.455541,-0.231101,-0.396856,0.247622,-0.356018,-0.20935,0.35822,-0.313506,-0.301139,0.447048,-0.292707,-0.320021,0.543144,-0.295028,-0.329551
YES,0.0,0.0,0.0,-0.26678,0.068015,-0.179149,-0.503657,-0.096446,-0.279386,-0.658022,-0.261265,-0.354733,-0.815003,-0.401887,-0.417442,-0.283985,-0.457466,-0.234065,-0.199425,-0.312986,-0.336516,-0.136575,-0.163965,-0.396833,-0.082692,-0.067323,-0.434222,-0.0899,-0.526192,-0.202972,0.01961,-0.325746,-0.287856,0.076253,-0.225158,-0.329813,0.134494,-0.176403,-0.366216,0.07163,-0.502464,-0.183112,0.167244,-0.33699,-0.293185,0.165813,-0.219054,-0.308844,0.16904,-0.164441,-0.310315,0.199867,-0.44248,-0.177332,0.298838,-0.479522,-0.273338,0.367947,-0.444584,-0.278734,0.434597,-0.417251,-0.270765
YES,0.0,0.0,0.0,-0.142353,-0.068456,-0.089481,-0.247393,-0.206586,-0.146793,-0.319651,-0.354204,-0.196188,-0.396907,-0.46982,-0.245374,-0.142715,-0.448705,-0.101585,-0.163028,-0.65795,-0.163213,-0.177046,-0.789565,-0.210897,-0.191397,-0.902794,-0.244891,-0.050422,-0.473991,-0.095754,-0.041666,-0.702807,-0.145707,-0.048394,-0.850494,-0.183186,-0.059156,-0.975441,-0.21217,0.034053,-0.45337,-0.099692,0.04739,-0.662741,-0.142286,0.039562,-0.790807,-0.170457,0.023411,-0.901585,-0.191357,0.112399,-0.4001,-0.112575,0.132457,-0.563572,-0.148393,0.126448,-0.663193,-0.166297,0.106598,-0.75252,-0.179191
YES,0.0,0.0,0.0,-0.154883,-0.076924,-0.050345,-0.262318,-0.227347,-0.076526,-0.314356,-0.376022,-0.101589,-0.366918,-0.488488,-0.126471,-0.168826,-0.485276,-0.030461,-0.197386,-0.681283,-0.06911,-0.207112,-0.802591,-0.10785,-0.209007,-0.912182,-0.139162,-0.084031,-0.517063,-0.03533,-0.095235,-0.73286,-0.063506,-0.099493,-0.868241,-0.09527,-0.099798,-0.987389,-0.122895,-0.003897,-0.501719,-0.049191,-0.011437,-0.702402,-0.075899,-0.018839,-0.827236,-0.104186,-0.026126,-0.935826,-0.127612,0.076599,-0.448831,-0.069403,0.070992,-0.607811,-0.093669,0.05799,-0.706104,-0.109876,0.045463,-0.795269,-0.1234
YES,0.0,0.0,0.0,-0.165413,-0.079293,-0.043877,-0.285043,-0.225909,-0.061159,-0.343087,-0.376067,-0.078648,-0.391074,-0.486247,-0.094885,-0.190413,-0.492158,-0.006387,-0.230706,-0.689706,-0.036613,-0.244105,-0.804304,-0.070211,-0.250345,-0.906754,-0.09674,-0.106593,-0.529465,-0.010999,-0.129404,-0.749061,-0.030742,-0.14091,-0.87973,-0.057612,-0.148313,-0.985659,-0.080492,-0.023138,-0.524105,-0.025778,-0.046143,-0.726618,-0.045233,-0.059924,-0.847667,-0.069033,-0.072548,-0.944419,-0.087938,0.064264,-0.483536,-0.047191,0.048838,-0.650413,-0.062736,0.031484,-0.748532,-0.073369,0.01665,-0.831891,-0.082233
YES,0.0,0.0,0.0,-0.163029,-0.075186,-0.047629,-0.282533,-0.22087,-0.06797,-0.345374,-0.372166,-0.088073,-0.395484,-0.484922,-0.107389,-0.193786,-0.48313,-0.016204,-0.233916,-0.684735,-0.05111,-0.246287,-0.79973,-0.087336,-0.250706,-0.903233,-0.115447,-0.109908,-0.521416,-0.020516,-0.135345,-0.744604,-0.043554,-0.147338,-0.875762,-0.071406,-0.15559,-0.983216,-0.095283,-0.025804,-0.518159,-0.03512,-0.049675,-0.725181,-0.057139,-0.06258,-0.846077,-0.080516,-0.075006,-0.945054,-0.099284,0.061104,-0.480455,-0.056648,0.045648,-0.649985,-0.074606,0.029604,-0.746633,-0.085502,0.015782,-0.829526,-0.094633
YES,0.0,0.0,0.0,-0.146315,-0.066042,-0.071931,-0.259397,-0.208171,-0.118249,-0.337353,-0.342632,-0.160073,-0.410696,-0.444462,-0.202622,-0.151944,-0.463375,-0.075891,-0.173244,-0.657218,-0.130535,-0.183307,-0.778597,-0.176952,-0.19244,-0.885844,-0.211485,-0.064686,-0.492539,-0.076808,-0.06644,-0.708744,-0.122042,-0.077606,-0.851978,-0.160897,-0.090645,-0.977385,-0.191054,0.017152,-0.475167,-0.086636,0.020125,-0.682166,-0.125737,0.010053,-0.812298,-0.156463,-0.006339,-0.92486,-0.179346,0.093423,-0.420801,-0.103956,0.105376,-0.584656,-0.138209,0.098117,-0.688637,-0.15757,0.081373,-0.783382,-0.171513
